title,label
mcdonalds drive thru,Food & Dining
burger king meal,Food & Dining
wendys lunch,Food & Dining
harveys burger,Food & Dining
a and w breakfast,Food & Dining
swiss chalet dinner,Food & Dining
the keg steakhouse,Food & Dining
montanas dinner,Food & Dining
kelseys pub,Food & Dining
jack astors,Food & Dining
boston pizza,Food & Dining
milestones grill,Food & Dining
earls kitchen,Food & Dining
joey restaurant,Food & Dining
moxies dinner,Food & Dining
red lobster,Food & Dining
olive garden,Food & Dining
chilis grill,Food & Dining
applebees,Food & Dining
pizza pizza,Food & Dining
dominos pizza,Food & Dining
pizza hut,Food & Dining
papa johns,Food & Dining
little caesars,Food & Dining
popeyes chicken,Food & Dining
kfc bucket,Food & Dining
subway sandwich,Food & Dining
chipotle burrito,Food & Dining
taco bell,Food & Dining
pita pit,Food & Dining
freshii bowl,Food & Dining
starbucks coffee,Food & Dining
tim hortons,Food & Dining
second cup,Food & Dining
mccafe drink,Food & Dining
dunkin donuts,Food & Dining
balzacs coffee,Food & Dining
bubble tea,Food & Dining
ice cream cone,Food & Dining
dessert shop,Food & Dining
sushi dinner,Food & Dining
ramen lunch,Food & Dining
thai food,Food & Dining
vietnamese pho,Food & Dining
indian buffet,Food & Dining
chinese takeout,Food & Dining
korean bbq,Food & Dining
uber eats order,Food & Dining
doordash delivery,Food & Dining
skip the dishes,Food & Dining
foodora order,Food & Dining
grubhub,Food & Dining
instacart groceries,Food & Dining
walmart groceries,Food & Dining
freshco shopping,Food & Dining
no frills groceries,Food & Dining
food basics,Food & Dining
sobeys groceries,Food & Dining
loblaws shopping,Food & Dining
metro supermarket,Food & Dining
costco groceries,Food & Dining
real canadian superstore,Food & Dining
t and t supermarket,Food & Dining
farm boy market,Food & Dining
whole foods,Food & Dining
trader joes,Food & Dining
lunch with team,Food & Dining
dinner with friends,Food & Dining
weekend brunch,Food & Dining
breakfast cafe,Food & Dining
food court mall,Food & Dining
snacks corner store,Food & Dining
restaurant tip,Food & Dining
takeout dinner,Food & Dining
beer at pub,Food & Dining
wine bar,Food & Dining
shell gas station,Transport
petro canada fuel,Transport
esso fillup,Transport
husky gas,Transport
ultramar fuel,Transport
pioneer gas,Transport
mobil station,Transport
costco gas,Transport
chevron fuel,Transport
suncor gas,Transport
gas top up,Transport
uber ride,Transport
uber x trip,Transport
uber comfort,Transport
uber pool,Transport
lyft trip,Transport
lyft xl,Transport
ola cab,Transport
beck taxi,Transport
diamond taxi,Transport
yellow cab,Transport
airport taxi,Transport
ttc metropass,Transport
ttc fare,Transport
presto reload,Transport
presto card top up,Transport
go transit pass,Transport
go train ticket,Transport
viva transit,Transport
